'5101','47','4','1',NULL,NULL,'4704'
'5101','48','3','1',NULL,NULL,'4803'
'5101','48','4','1',NULL,NULL,'4804'
'5101','49','3','1',NULL,NULL,'4903'
'5101','49','4','1',NULL,NULL,'4904'
'5101','50','3','1',NULL,NULL,'5003'
'5101','50','4','1',NULL,NULL,'5004'
'5101','51','3','1',NULL,NULL,'5103'
'5101','51','4','1',NULL,NULL,'5104'
'5101','52','3','1',NULL,NULL,'5203'
'5101','52','4','1',NULL,NULL,'5204'
'5101','53','3','1',NULL,NULL,'5303'
'5101','53','4','1',NULL,NULL,'5304'
'5101','54','3','1',NULL,NULL,'5403'
'5101','54','4','1',NULL,NULL,'5404'
'5101','55','3','1',NULL,NULL,'5503'
'5101','55','4','1',NULL,NULL,'5504'
'5101','56','3','1',NULL,NULL,'5603'
'5101','56','4','1',NULL,NULL,'5604'
'5101','57','3','1',NULL,NULL,'5703'
'5101','57','4','1',NULL,NULL,'5704'
'5101','58','3','1',NULL,NULL,'5803'
'5101','58','4','1',NULL,NULL,'5804'
'5101','59','3','1',NULL,NULL,'5903'
'5101','59','4','1',NULL,NULL,'5904'
'5101','60','3','1',NULL,NULL,'6003'
'5101','60','4','1',NULL,NULL,'6004'
'5101','61','3','1',NULL,NULL,'6103'
'5101','61','4','1',NULL,NULL,'6104'
'5101','62','3','1',NULL,NULL,'6203'
'5101','62','4','1',NULL,NULL,'6204'
'5101','63','3','1',NULL,NULL,'6303'
'5101','63','4','1',NULL,NULL,'6304'
'5101','64','3','1',NULL,NULL,'6403'
'5101','64','4','1',NULL,NULL,'6404'
'5101','65','3','1',NULL,NULL,'6503'
'5101','65','4','1',NULL,NULL,'6504'
'5101','66','3','1',NULL,NULL,'6603'
'5101','66','4','1',NULL,NULL,'6604'
'5101','67','3','1',NULL,NULL,'6703'
'5101','67','4','1',NULL,NULL,'6704'
'5101','68','3','1',NULL,NULL,'6803'
'5101','68','4','1',NULL,NULL,'6804'
'5101','69','3','1',NULL,NULL,'6903'
'5101','69','4','1',NULL,NULL,'6904'
'5101','72','3','1',NULL,NULL,'7203'
'5101','72','4','1',NULL,NULL,'7204'
'5101','73','3','1',NULL,NULL,'7303'
'5101','73','4','1',NULL,NULL,'7304'
'5101','74','3','1',NULL,NULL,'7403'
'5101','74','4','1',NULL,NULL,'7404'
'5101','75','3','1',NULL,NULL,'7503'
'5101','75','4','1',NULL,NULL,'7504'
'5101','76','3','1',NULL,NULL,'7603'
'5101','76','4','1',NULL,NULL,'7604'
'5101','77','3','1',NULL,NULL,'7703'
'5101','77','4','1',NULL,NULL,'7704'
'5101','78','3','1',NULL,NULL,'7803'
'5101','78','4','1',NULL,NULL,'7804'
'5101','79','3','1',NULL,NULL,'7903'
'5101','79','4','1',NULL,NULL,'7904'
'5101','80','3','1',NULL,NULL,'8003'
'5101','80','4','1',NULL,NULL,'8004'
'5101','81','3','1',NULL,NULL,'8103'
'5101','81','4','1',NULL,NULL,'8104'
'5101','83','3','1',NULL,NULL,'8303'
'5101','83','4','1',NULL,NULL,'8304'
'5101','84','3','1',NULL,NULL,'8403'
'5101','84','4','1',NULL,NULL,'8404'
'5101','85','3','1',NULL,NULL,'8503'
'5101','85','4','1',NULL,NULL,'8504'
'5101','86','3','1',NULL,NULL,'8603'
'5101','86','4','1',NULL,NULL,'8604'
'5101','89','3','1',NULL,NULL,'8903'
'5101','89','4','1',NULL,NULL,'8904'
'5101','90','3','1',NULL,NULL,'9003'
'5101','90','4','1',NULL,NULL,'9004'
'5101','91','3','1',NULL,NULL,'9103'
'5101','91','4','1',NULL,NULL,'9104'
'5101','92','3','1',NULL,NULL,'9203'
'5101','92','4','1',NULL,NULL,'9204'
'5101','93','3','1',NULL,NULL,'9303'
'5101','93','4','1',NULL,NULL,'9304'
'5101','94','3','1',NULL,NULL,'9403'
'5101','94','4','1',NULL,NULL,'9404'
'5101','97','3','1',NULL,NULL,'9703'
'5101','97','4','1',NULL,NULL,'9704'
'5101','98','3','1',NULL,NULL,'9803'
'5101','98','4','1',NULL,NULL,'9804'
'5101','99','3','1',NULL,NULL,'9903'
'5101','99','4','1',NULL,NULL,'9904'
'5101','101','3','1',NULL,NULL,'10103'
'5101','101','4','1',NULL,NULL,'10104'
'5101','102','3','1',NULL,NULL,'10203'
'5101','102','4','1',NULL,NULL,'10204'
'5101','103','3','1',NULL,NULL,'10303'
'5101','103','4','1',NULL,NULL,'10304'
'5101','104','3','1',NULL,NULL,'10403'
'5101','104','4','1',NULL,NULL,'10404'
'5101','105','3','1',NULL,NULL,'10503'
'5101','105','4','1',NULL,NULL,'10504'
'5101','106','3','1',NULL,NULL,'10603'
'5101','106','4','1',NULL,NULL,'10604'
'5101','107','3','1',NULL,NULL,'10703'
'5101','107','4','1',NULL,NULL,'10704'
'5101','108','3','1',NULL,NULL,'10803'
'5101','108','4','1',NULL,NULL,'10804'
'5101','109','3','1',NULL,NULL,'10903'
'5101','109','4','1',NULL,NULL,'10904'
'5101','110','3','1',NULL,NULL,'11003'
'5101','110','4','1',NULL,NULL,'11004'
'5101','111','3','1',NULL,NULL,'11103'
'5101','111','4','1',NULL,NULL,'11104'
'5101','112','3','1',NULL,NULL,'11203'
'5101','112','4','1',NULL,NULL,'11204'
'5101','115','3','1',NULL,NULL,'11503'
'5101','115','4','1',NULL,NULL,'11504'
'5101','116','3','1',NULL,NULL,'11603'
'5101','116','4','1',NULL,NULL,'11604'
'5101','119','3','1',NULL,NULL,'11903'
'5101','119','4','1',NULL,NULL,'11904'
