'33620','0','*71#','1','0','8','2','0'
'33620','0','*71*','1','0','8','0','0'
'33620','0','*72#','1','0','8','11','0'
'33620','0','*73#','1','0','8','1','0'
'33620','0','*74#','1','0','8','4','0'
'33620','0','*75#','1','0','8','5','0'
'33620','0','*81#','1','0','5','75','0'
'33620','0','*82#','1','0','5','76','0'
'33620','0','*83#','1','0','5','77','0'
'33620','0','*84*','1','0','5','66','0'
'33620','0','*85*','1','0','5','67','0'
'33620','0','*87*','1','0','9','0','0'
'33620','0','*88*','1','0','9','1','0'
'33620','0','831','1','0','12','2','0'
'33620','0','832','1','0','12','3','0'
'33620','0','83472','1','0','12','4','0'
'33620','0','83473','1','0','12','6','0'
'33620','0','834783','1','0','12','5','0'
'33620','0','G','1','0','6','1','0'
'33620','0','H','1','0','6','1','0'
'33620','2','*0047','1','0','3','6','0'
'33620','2','*0059','1','0','3','6','0'
'33620','2','*0068','1','0','3','6','0'
'33620','2','*0096','1','0','3','6','0'
'33620','2','*0099','1','0','3','6','0'
'33620','2','00073','1','0','3','6','0'
'33620','2','00074','1','0','3','6','0'
'33620','2','00082','1','0','3','9','0'
'33620','2','00084','1','0','3','10','0'
'33620','2','00086','1','0','3','9','0'
'33620','2','00088','1','0','3','10','0'
'33620','2','06','1','0','3','6','0'
'33620','2','0800','1','0','3','6','0'
'33620','2','09','1','0','3','6','0'
'33620','2','1','1','0','3','6','0'
'33620','2','400','1','0','2','0','0'
'33620','2','401','1','0','40','0','0'
'33620','2','4020','1','0','3','16','0'
'33620','2','4021','1','0','3','16','0'
'33620','2','40220','1','0','3','16','0'
'33620','2','40221','1','0','3','16','0'
'33620','2','40222','1','0','3','16','0'
'33620','2','40223','1','0','3','16','0'
'33620','2','40224','1','0','3','16','0'
'33620','2','40225','1','0','3','16','0'
'33620','2','40226','1','0','3','16','0'
'33620','2','40227','1','0','3','16','0'
'33620','2','40228','1','0','3','16','0'
'33620','2','40229','1','0','2','0','0'
'33620','2','4023','1','0','3','16','0'
'33620','2','4024','1','0','3','16','0'
'33620','2','4025','1','0','3','16','0'
'33620','2','4026','1','0','3','16','0'
'33620','2','4027','1','0','3','16','0'
'33620','2','4028','1','0','3','16','0'
'33620','2','4029','1','0','3','16','0'
'33620','2','40300','1','0','3','16','0'
'33620','2','40301','1','0','3','16','0'
'33620','2','40302','1','0','3','16','0'
'33620','2','40303','1','0','3','16','0'
'33620','2','40304','1','0','2','0','0'
'33620','2','40305','1','0','3','16','0'
'33620','2','40306','1','0','3','16','0'
'33620','2','40307','1','0','3','16','0'
'33620','2','40308','1','0','3','16','0'
'33620','2','40309','1','0','3','16','0'
'33620','2','4031','1','0','3','16','0'
'33620','2','4032','1','0','3','16','0'
'33620','2','4033','1','0','3','16','0'
'33620','2','40340','1','0','3','16','0'
'33620','2','40341','1','0','3','16','0'
'33620','2','40342','1','0','3','16','0'
'33620','2','40343','1','0','3','16','0'
'33620','2','40344','1','0','3','16','0'
'33620','2','40345','1','0','3','16','0'
'33620','2','40346','1','0','3','16','0'
'33620','2','40347','1','0','3','16','0'
'33620','2','40348','1','0','3','16','0'
'33620','2','40349','1','0','2','0','0'
'33620','2','4035','1','0','3','16','0'
'33620','2','4036','1','0','3','16','0'
'33620','2','4037','1','0','3','16','0'
'33620','2','4038','1','0','3','16','0'
'33620','2','4039','1','0','3','16','0'
'33620','2','404','1','0','3','16','0'
'33620','2','405','1','0','3','16','0'
'33620','2','406','1','0','3','16','0'
'33620','2','407','1','0','3','16','0'
'33620','2','408','1','0','3','16','0'
'33620','2','409','1','0','3','16','0'
'33620','2','410','1','0','3','16','0'
'33620','2','411','1','0','3','16','0'
'33620','2','41200','1','0','3','16','0'
'33620','2','41201','1','0','3','16','0'
'33620','2','41202','1','0','3','16','0'
'33620','2','41203','1','0','3','16','0'
'33620','2','41204','1','0','3','16','0'
'33620','2','41205','1','0','3','16','0'
'33620','2','41206','1','0','3','16','0'
'33620','2','41207','1','0','3','16','0'
'33620','2','41208','1','0','2','0','0'
'33620','2','41209','1','0','3','16','0'
'33620','2','41210','1','0','3','16','0'
'33620','2','41211','1','0','3','16','0'
'33620','2','41212','1','0','3','16','0'
'33620','2','41213','1','0','3','16','0'
'33620','2','41214','1','0','3','16','0'
'33620','2','41215','1','0','2','0','0'
'33620','2','41216','1','0','3','16','0'
'33620','2','41217','1','0','3','16','0'
'33620','2','41218','1','0','3','16','0'
'33620','2','41219','1','0','3','16','0'
'33620','2','41220','1','0','2','0','0'
'33620','2','41221','1','0','3','16','0'
'33620','2','41222','1','0','2','0','0'
'33620','2','41223','1','0','3','16','0'
'33620','2','41224','1','0','3','16','0'
'33620','2','41225','1','0','3','16','0'
'33620','2','41226','1','0','3','16','0'
'33620','2','41227','1','0','3','16','0'
'33620','2','41228','1','0','3','16','0'
'33620','2','41229','1','0','3','16','0'
